,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
30,“Gaming as an Olympic eSport-The Time Has Come” by Bradley W. Deacon  https://t.co/mIMuvHaJZb  https://t.co/JrFOrIZ1Iy, gaming as an olympic esport the time has come  by bradley w  deacon      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
31,@FlogMma @NerdGaethje Imagine changing it to “someone” rather than Olympic wrestler and UFC double champ to make it sound better.,    imagine changing it to  someone  rather than olympic wrestler and ufc double champ to make it sound better ,0.3,0.3,positive,0.0,0.727,0.273,0.7184
32,@Cyclops_Trader Decathlon have super cheap ones which are really decent.  You can connect it to the app for mo ignoring while exercising or just have it on your wrist.  Slightly less accurate than a chest strap but I'm not exactly using it to train for the Olympics  https://t.co/GjkUoTVRJU,  trader decathlon have super cheap ones which are really decent   you can connect it to the app for mo ignoring while exercising or just have it on your wrist   slightly less accurate than a chest strap but i m not exactly using it to train for the olympics   ,0.1680555555555556,0.49722222222222223,positive,0.039,0.909,0.052,0.1531
33,1936 Olympics Full Ticket Jesse Owe #thehobby  https://t.co/YqGJY11g7C,1936 olympics full ticket jesse owe  thehobby   ,0.35,0.55,neutral,0.0,1.0,0.0,0.0
34,"@AdamDodgers mlb did a dodgers-padres preseason promo thing at the baseball field left over from the 2008 olympics, i went brought a case of beer, they let it in, it was all like AAA players, no one on the actual teams hardly made that flight lol",  mlb did a dodgers padres preseason promo thing at the baseball field left over from the 2008 olympics  i went brought a case of beer  they let it in  it was all like aaa players  no one on the actual teams hardly made that flight lol,0.12708333333333333,0.33541666666666664,positive,0.046,0.842,0.112,0.4767
35,"How to wear KAMISHIMO, Samurai Formal wear! Let's all come to the Tokyo 2020 Olympics wearing Samurai wear KAMISHIMO!  https://t.co/RdyLEtIqjT  https://t.co/aEY8mFYTi6  https://t.co/uHHzQxyfkX",how to wear kamishimo  samurai formal wear  let s all come to the tokyo 2020 olympics wearing samurai wear kamishimo          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
36,"The president and first lady Jill Biden will host Olympians from the Tokyo 2020 Summer Olympic and Paralympic Games and the Beijing 2022 Winter Olympic and Paralympic Games, on the South Lawn.  https://t.co/p9HcemAfnL",the president and first lady jill biden will host olympians from the tokyo 2020 summer olympic and paralympic games and the beijing 2022 winter olympic and paralympic games  on the south lawn    ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
37,"Olympic 3000M Steeplechase bronze medalist, Benjamin Kigen, Africa fastest Man ⁦@Ferdiomanyala⁩ and 2015 World Champion ⁦@JuliusYegoKE⁩ will represent Kenya to the Africa Athletics Championships in Mauritius next month.  https://t.co/wwNfz3bRXx",olympic 3000m steeplechase bronze medalist  benjamin kigen  africa fastest man     and 2015 world champion     will represent kenya to the africa athletics championships in mauritius next month    ,0.0,0.0,positive,0.0,0.772,0.228,0.7964
38,Giochi nazionali Special Olympics: 20 le discipline previste in diversi impianti della Città metropolitana  https://t.co/3lvDPCplZl,giochi nazionali special olympics  20 le discipline previste in diversi impianti della citt  metropolitana   ,0.35714285714285715,0.5714285714285714,positive,0.0,0.828,0.172,0.4019
39,Qld Premier sorry for plus-one at Olympic meeting | The New Daily  https://t.co/UOPHTIefVL,qld premier sorry for plus one at olympic meeting   the new daily   ,-0.12121212121212122,0.48484848484848486,negative,0.106,0.894,0.0,-0.0772
